SiteID,MinValue,MaxValueFinal,MaxValue_IQR,MaxValue_95Perc,AverageRateOfChange,UnusualChangeDistribution,UnusualStandardDeviation,DischargeStandardDeviation
6,0,137.0,,137.0,3.0935981597183986,8.0,7.634166780595735,42.799052544052664
18,0,8.8,9.8,8.8,0.22907516283297238,0.6000000000000001,0.5630679411011813,2.805849961640331
19,0,57.0,71.0,57.0,1.9599172613486533,5.0,3.9811252892824975,17.84480939782243
21,0,30.067591033501998,41.89249222615,30.067591033501998,2.0251687307027213,5.100000000000001,3.5986799763587256,10.576653373736114
26,0,30.3,39.0,30.3,1.0306839547792594,2.5178400000000023,2.477328239539812,9.434052016127206
