year,month,day,DISCHARGE,DATE,FLAG_NEGATIVE,FLAG_ZERO,RoC,FLAG_RoC,FLAG_IQR,FLAG_REPEATED,OUTLIER_IF,FLAGGED
2015,10,1,32.46,2015-10-01,False,False,0.0,False,False,False,False,False
2015,10,2,36.85,2015-10-02,False,False,4.390000000000001,False,False,False,False,False
2015,10,3,42.65,2015-10-03,False,False,5.799999999999997,False,False,False,False,False
2015,10,4,42.62,2015-10-04,False,False,0.030000000000001137,False,False,False,False,False
2015,10,5,42.61,2015-10-05,False,False,0.00999999999999801,False,False,False,False,False
2015,10,6,42.6,2015-10-06,False,False,0.00999999999999801,False,False,False,False,False
2015,10,7,42.59,2015-10-07,False,False,0.00999999999999801,False,False,False,False,False
2015,10,8,42.59,2015-10-08,False,False,0.0,False,False,False,False,False
2015,10,9,42.59,2015-10-09,False,False,0.0,False,False,False,False,False
2015,10,10,33.79,2015-10-10,False,False,8.800000000000004,False,False,False,False,False
2015,10,11,23.99,2015-10-11,False,False,9.8,False,False,False,False,False
2015,10,12,6.06,2015-10-12,False,False,17.93,True,False,False,False,True
2015,10,13,6.065,2015-10-13,False,False,0.005000000000000782,False,False,False,False,False
2015,10,14,6.063,2015-10-14,False,False,0.002000000000000668,False,False,False,False,False
2015,10,15,6.062,2015-10-15,False,False,0.0009999999999994458,False,False,False,False,False
2015,10,16,6.064,2015-10-16,False,False,0.0019999999999997797,False,False,False,False,False
2015,10,17,6.056,2015-10-17,False,False,0.008000000000000007,False,False,False,False,False
2015,10,18,6.055,2015-10-18,False,False,0.001000000000000334,False,False,False,False,False
2015,10,19,6.044,2015-10-19,False,False,0.01100000000000012,False,False,False,False,False
2015,10,20,6.088,2015-10-20,False,False,0.04400000000000048,False,False,False,False,False
2015,10,21,6.18,2015-10-21,False,False,0.09199999999999964,False,False,False,False,False
2015,10,22,6.163,2015-10-22,False,False,0.01699999999999946,False,False,False,False,False
2015,10,23,6.173,2015-10-23,False,False,0.009999999999999787,False,False,False,False,False
2015,10,24,6.177,2015-10-24,False,False,0.0039999999999995595,False,False,False,False,False
2015,10,25,6.173,2015-10-25,False,False,0.0039999999999995595,False,False,False,False,False
2015,10,26,6.173,2015-10-26,False,False,0.0,False,False,False,False,False
2015,10,27,6.174,2015-10-27,False,False,0.001000000000000334,False,False,False,False,False
2015,10,28,6.178,2015-10-28,False,False,0.0039999999999995595,False,False,False,False,False
